Events for energy 56.607229 GeV:
Cross section pb: 0.14656614455687686
Total number of events: 996200

pid = 22, p = (-0.06287551478382092, -0.19478805245607742, 0.4143424243988783, 0.4621421430639088), Parent_PIDs = (111, 90), theta = 0.45883468605998323, phi = 4.400157808456014
pid = 22, p = (-0.27362885978931306, -0.32513295334471143, 2.046848602682886, 2.090495968081531), Parent_PIDs = (111, 90), theta = 0.20470473648259893, phi = 4.012797270341385
pid = 22, p = (-0.002573086461485588, -0.08084786853806873, 0.28149444872588936, 0.29288585367781006), Parent_PIDs = (111, 90), theta = 0.27981577836177013, phi = 4.680573445037011

pid = -11, p = (0.04971138616479828, 0.8275223244617255, 18.619914105225583, 18.638360066446207), Parent_PIDs = (-12, 2), theta = 0.0444935990080651, phi = 1.5107958702469202
pid = 2112, p = (-0.23611053444580643, 0.10630265408057588, 1.6957093626205275, 1.9558298663533529), Parent_PIDs = (1, 2101), theta = 0.15153081580735547, phi = 2.718552377081987
pid = 13, p = (0.2368005591301146, -0.009088939446423347, 2.748773144196278, 2.760991660161126), Parent_PIDs = (223, 90), theta = 0.08599852340477296, phi = 6.2448218837434615
pid = -13, p = (-0.014930846842562795, 0.09319543535055903, 0.5908988907204451, 0.6076461585596249), Parent_PIDs = (223, 90), theta = 0.15839135311019134, phi = 1.7296564047480019
pid = 211, p = (0.07317453029474504, -0.028278132624105147, 0.4271424694099646, 0.4561629519614736), Parent_PIDs = (223, 90), theta = 0.18163466379016913, phi = 5.914416217867616
pid = -211, p = (0.19183402179262266, -0.3398148342481013, 2.1879309997880467, 2.2268354807272406), Parent_PIDs = (223, 90), theta = 0.17649694149428755, phi = 5.226315505656361
pid = 22, p = (0.03859834494070684, -0.04906963323537266, 0.271192800667192, 0.2782861769325438), Parent_PIDs = (111, 90), theta = 0.22626767618356586, phi = 5.378907774562368
pid = 22, p = (-0.06287551478382092, -0.19478805245607742, 0.4143424243988783, 0.4621421430639088), Parent_PIDs = (111, 90), theta = 0.45883468605998323, phi = 4.400157808456014
