Energy,Cross_section_pb,pid,momentum,parent_pids,theta,phi
449.647202,7.6689e-07,,,,,
,,-211,"(-0.8331470686763726, 0.10168431780716908, 3.0854707244607233, 3.20063792312347)","(1, 2101)",0.265599535634768,3.020144837302347
,,2212,"(0.2910151351870633, -0.33338202367915426, 5.473199276987879, 5.570645770567448)","(1, 2101)",0.08067860650828877,5.430038518636585
,,211,"(-0.5774781480808205, -0.49832908696126027, 14.344474521042546, 14.36541826610563)","(113, 90)",0.05312490830571298,3.8535513435117656
,,-211,"(-0.13924256431192159, -0.320652310436507, 2.214107965037804, 2.2458762792389697)","(113, 90)",0.15659496714561982,4.302711500916765
,,,,,,
,,-13,"(0.539653452849345, 1.2964843003185864, 50.35607518605526, 50.375763712021225)","(14, 2)",0.02788044857447083,1.1763656386622532
,,39,"(2.869254510583818, 0.21264309367427875, 345.75920412227265, 346.3463759282946)","(39, 39)",0.00832098428897555,0.07397568317110045
,,2112,"(-0.3480114073257924, -0.14339275016613492, 6.050718562096884, 6.134790976311488)","(1, 2101)",0.062126656404836236,3.5324304652973972
,,22,"(-0.14338096963219052, -0.05923426708734769, 1.2894773531348354, 1.2987758255748623)","(3212, 90)",0.11973280372567492,3.533362255596814
,,22,"(0.03200628736966406, 0.009580666887792053, 0.22709386156879402, 0.22953826167205976)","(-3212, 90)",0.14606957398028544,0.2908484509010043
,,22,"(-0.12118315892886428, 0.10822453609073887, 0.40094039737207937, 0.43260965137744556)","(111, 90)",0.38500953690379347,2.4126218315008736
,,22,"(-0.13372497918453466, 0.05423707013196937, 0.8106099096074817, 0.8233543923416295)","(111, 90)",0.1761750857970184,2.756279471491733
,,2212,"(-1.3677837955315995, -1.4140335751170152, 26.076681447425237, 26.16761336779243)","(3122, 90)",0.0753007628105023,3.9436150279787565
,,-211,"(-0.2446306221694132, -0.23861364363980667, 3.222454155811267, 3.243527583270932)","(3122, 90)",0.10565218512165366,3.9145402447998947
,,-2212,"(-1.0226853501654205, 0.1278915018374591, 13.175483423272494, 13.248998286342768)","(-3122, 90)",0.07806593943165058,3.017183904750888
,,211,"(-0.05951396786502233, 0.04621306706946827, 2.246178456018621, 2.25177152507114)","(-3122, 90)",0.03353310587651277,2.4813411943026558
,,,,,,
